YEAR,NEIGHBORHOOD_CLUSTER,OFFENSE,SHIFT,NUMBER_OF_CRIMES
2008,Cluster 3,ROBBERY,EVENING,83
2008,Cluster 3,ROBBERY,MIDNIGHT,66
2008,Cluster 3,ROBBERY,DAY,35
2008,Cluster 3,SEX ABUSE,MIDNIGHT,4
2008,Cluster 3,SEX ABUSE,EVENING,2
2008,Cluster 3,THEFT/OTHER,EVENING,356
2008,Cluster 3,THEFT/OTHER,DAY,322
2008,Cluster 3,THEFT/OTHER,MIDNIGHT,215
2008,Cluster 30,ARSON,MIDNIGHT,1
2008,Cluster 30,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,19
2008,Cluster 30,ASSAULT W/DANGEROUS WEAPON,EVENING,13
2008,Cluster 30,ASSAULT W/DANGEROUS WEAPON,DAY,11
2008,Cluster 30,BURGLARY,EVENING,13
2008,Cluster 30,BURGLARY,DAY,11
2008,Cluster 30,BURGLARY,MIDNIGHT,4
2008,Cluster 30,HOMICIDE,MIDNIGHT,1
2008,Cluster 30,MOTOR VEHICLE THEFT,EVENING,68
2008,Cluster 30,MOTOR VEHICLE THEFT,DAY,62
2008,Cluster 30,MOTOR VEHICLE THEFT,MIDNIGHT,21
2008,Cluster 30,ROBBERY,EVENING,37
2008,Cluster 30,ROBBERY,MIDNIGHT,18
2008,Cluster 30,ROBBERY,DAY,16
2008,Cluster 30,SEX ABUSE,DAY,1
2008,Cluster 30,SEX ABUSE,EVENING,1
2008,Cluster 30,SEX ABUSE,MIDNIGHT,1
2008,Cluster 30,THEFT/OTHER,DAY,114
2008,Cluster 30,THEFT/OTHER,EVENING,88
2008,Cluster 30,THEFT/OTHER,MIDNIGHT,27
2008,Cluster 31,ARSON,DAY,1
2008,Cluster 31,ARSON,EVENING,1
2008,Cluster 31,ARSON,MIDNIGHT,1
2008,Cluster 31,ASSAULT W/DANGEROUS WEAPON,EVENING,60
2008,Cluster 31,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,54
2008,Cluster 31,ASSAULT W/DANGEROUS WEAPON,DAY,23
2008,Cluster 31,BURGLARY,DAY,58
2008,Cluster 31,BURGLARY,EVENING,44
2008,Cluster 31,BURGLARY,MIDNIGHT,25
2008,Cluster 31,HOMICIDE,MIDNIGHT,9
2008,Cluster 31,MOTOR VEHICLE THEFT,EVENING,112
2008,Cluster 31,MOTOR VEHICLE THEFT,DAY,99
2008,Cluster 31,MOTOR VEHICLE THEFT,MIDNIGHT,54
2008,Cluster 31,ROBBERY,EVENING,48
2008,Cluster 31,ROBBERY,MIDNIGHT,43
2008,Cluster 31,ROBBERY,DAY,31
2008,Cluster 31,SEX ABUSE,MIDNIGHT,3
2008,Cluster 31,SEX ABUSE,EVENING,1
2008,Cluster 31,THEFT/OTHER,DAY,145
2008,Cluster 31,THEFT/OTHER,EVENING,138
