,Year,Neighborhood Cluster,Offense,Neighborhoods,Median Price,Number of Crimes
228,2008,Cluster 32,Sex Abuse,"River Terrace, Benning, Greenway, Dupont Park",229000,4
229,2008,Cluster 32,Theft/Other,"River Terrace, Benning, Greenway, Dupont Park",229000,319
230,2008,Cluster 33,Arson,"Capitol View, Marshall Heights, Benning Heights",320000,2
231,2008,Cluster 33,Assault w/Dangerous Weapon,"Capitol View, Marshall Heights, Benning Heights",320000,122
232,2008,Cluster 33,Burglary,"Capitol View, Marshall Heights, Benning Heights",320000,127
233,2008,Cluster 33,Homicide,"Capitol View, Marshall Heights, Benning Heights",320000,16
234,2008,Cluster 33,Motor Vehicle Theft,"Capitol View, Marshall Heights, Benning Heights",320000,304
235,2008,Cluster 33,Robbery,"Capitol View, Marshall Heights, Benning Heights",320000,125
236,2008,Cluster 33,Sex Abuse,"Capitol View, Marshall Heights, Benning Heights",320000,3
237,2008,Cluster 33,Theft/Other,"Capitol View, Marshall Heights, Benning Heights",320000,330
238,2008,Cluster 34,Arson,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,4
239,2008,Cluster 34,Assault w/Dangerous Weapon,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,90
240,2008,Cluster 34,Burglary,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,80
241,2008,Cluster 34,Homicide,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,6
242,2008,Cluster 34,Motor Vehicle Theft,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,200
243,2008,Cluster 34,Robbery,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,102
244,2008,Cluster 34,Sex Abuse,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,2
245,2008,Cluster 34,Theft/Other,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",275000,304
246,2008,Cluster 35,Assault w/Dangerous Weapon,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",435000,10
247,2008,Cluster 35,Burglary,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",435000,24
248,2008,Cluster 35,Motor Vehicle Theft,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",435000,80
249,2008,Cluster 35,Robbery,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",435000,50
250,2008,Cluster 35,Sex Abuse,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",435000,1
251,2008,Cluster 35,Theft/Other,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",435000,124
252,2008,Cluster 36,Arson,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,1
253,2008,Cluster 36,Assault w/Dangerous Weapon,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,71
254,2008,Cluster 36,Burglary,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,50
255,2008,Cluster 36,Homicide,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,2
256,2008,Cluster 36,Motor Vehicle Theft,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,69
257,2008,Cluster 36,Robbery,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,67
258,2008,Cluster 36,Sex Abuse,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,2
259,2008,Cluster 36,Theft/Other,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",282000,82
260,2008,Cluster 37,Arson,"Sheridan, Barry Farm, Buena Vista",293500,1
261,2008,Cluster 37,Assault w/Dangerous Weapon,"Sheridan, Barry Farm, Buena Vista",293500,84
262,2008,Cluster 37,Burglary,"Sheridan, Barry Farm, Buena Vista",293500,78
263,2008,Cluster 37,Homicide,"Sheridan, Barry Farm, Buena Vista",293500,4
264,2008,Cluster 37,Motor Vehicle Theft,"Sheridan, Barry Farm, Buena Vista",293500,116
265,2008,Cluster 37,Robbery,"Sheridan, Barry Farm, Buena Vista",293500,85
266,2008,Cluster 37,Sex Abuse,"Sheridan, Barry Farm, Buena Vista",293500,2
267,2008,Cluster 37,Theft/Other,"Sheridan, Barry Farm, Buena Vista",293500,133
268,2008,Cluster 38,Arson,"Douglas, Shipley Terrace",321050,1
269,2008,Cluster 38,Assault w/Dangerous Weapon,"Douglas, Shipley Terrace",321050,134
270,2008,Cluster 38,Burglary,"Douglas, Shipley Terrace",321050,149
271,2008,Cluster 38,Homicide,"Douglas, Shipley Terrace",321050,11
272,2008,Cluster 38,Motor Vehicle Theft,"Douglas, Shipley Terrace",321050,162
273,2008,Cluster 38,Robbery,"Douglas, Shipley Terrace",321050,97
274,2008,Cluster 38,Sex Abuse,"Douglas, Shipley Terrace",321050,2
275,2008,Cluster 38,Theft/Other,"Douglas, Shipley Terrace",321050,194
